# k | moduli n_1<...<n_k | covering residues a_i (x ≡ a_i mod n_i) | lcm
5 | 2 3 4 6 12 | 0 2 3 3 1 | 12
6 | 2 3 4 6 8 24 | 0 1 1 3 3 23 | 24
6 | 2 3 4 8 12 24 | 0 0 1 3 7 23 | 24
6 | 2 3 6 8 12 24 | 0 1 3 3 5 23 | 24
6 | 2 4 6 8 12 24 | 0 1 3 3 7 23 | 24
7 | 2 3 4 6 8 16 48 | 0 0 1 1 3 7 47 | 48
7 | 2 3 4 6 9 18 36 | 0 0 1 1 5 11 35 | 36
7 | 2 3 4 6 16 24 48 | 0 1 1 3 7 11 47 | 48
7 | 2 3 4 8 12 16 48 | 0 0 1 3 7 7 47 | 48
7 | 2 3 4 8 16 24 48 | 0 1 1 3 7 15 47 | 48
7 | 2 3 4 9 12 18 36 | 0 0 1 2 7 5 35 | 36
7 | 2 3 4 12 16 24 48 | 0 0 1 7 7 11 47 | 48
7 | 2 3 6 8 12 16 48 | 0 1 3 3 5 7 47 | 48
7 | 2 3 6 9 12 18 36 | 0 0 1 5 5 11 35 | 36
7 | 2 3 6 12 16 24 48 | 0 0 1 5 7 11 47 | 48
7 | 2 4 6 8 12 16 48 | 0 1 1 3 3 7 47 | 48
7 | 2 4 6 8 16 24 48 | 0 1 1 3 7 15 47 | 48
7 | 2 4 6 9 12 18 36 | 0 1 3 5 7 11 35 | 36
7 | 2 4 6 12 16 24 48 | 0 1 1 3 7 11 47 | 48
7 | 2 4 8 12 16 24 48 | 0 1 3 3 7 7 47 | 48
8 | 2 3 4 6 8 9 18 72 | 0 0 1 1 3 2 5 71 | 72
8 | 2 3 4 6 8 9 36 72 | 0 0 1 1 3 5 11 71 | 72
8 | 2 3 4 6 8 16 32 96 | 0 0 1 1 3 7 15 95 | 96
8 | 2 3 4 6 8 18 36 72 | 0 0 1 1 3 5 11 71 | 72
8 | 2 3 4 6 8 32 48 96 | 0 1 1 3 3 15 23 95 | 96
8 | 2 3 4 6 9 18 24 72 | 0 0 1 1 5 11 11 71 | 72
8 | 2 3 4 6 9 24 36 72 | 0 1 1 3 2 11 23 71 | 72
8 | 2 3 4 6 16 24 32 96 | 0 0 1 1 7 11 15 95 | 96
8 | 2 3 4 6 18 24 36 72 | 0 0 1 1 5 11 11 71 | 72
8 | 2 3 4 6 24 32 48 96 | 0 0 1 1 11 15 23 95 | 96
8 | 2 3 4 8 9 12 18 72 | 0 0 1 3 2 7 5 71 | 72
8 | 2 3 4 8 9 12 36 72 | 0 1 1 3 5 3 11 71 | 72
8 | 2 3 4 8 9 18 24 36 | 0 1 1 3 2 5 15 35 | 72
8 | 2 3 4 8 9 18 24 72 | 0 1 1 3 2 5 15 71 | 72
8 | 2 3 4 8 9 24 36 72 | 0 0 1 3 5 7 11 71 | 72
8 | 2 3 4 8 12 16 32 96 | 0 0 1 3 7 7 15 95 | 96
8 | 2 3 4 8 12 18 36 72 | 0 0 1 3 7 5 11 71 | 72
8 | 2 3 4 8 12 32 48 96 | 0 1 1 3 3 15 23 95 | 96
8 | 2 3 4 8 16 24 32 96 | 0 0 1 3 7 7 15 95 | 96
8 | 2 3 4 8 16 32 48 96 | 0 1 1 3 7 15 15 95 | 96
8 | 2 3 4 8 18 24 36 72 | 0 0 1 3 5 7 11 71 | 72
8 | 2 3 4 8 24 32 48 96 | 0 1 1 3 15 15 23 95 | 96
8 | 2 3 4 9 12 18 24 72 | 0 0 1 2 7 5 11 71 | 72
8 | 2 3 4 9 12 24 36 72 | 0 0 1 2 7 11 23 71 | 72
8 | 2 3 4 12 16 24 32 96 | 0 1 1 3 7 11 15 95 | 96
8 | 2 3 4 12 18 24 36 72 | 0 1 1 3 11 11 23 71 | 72
8 | 2 3 4 12 24 32 48 96 | 0 1 1 3 11 15 23 95 | 96
8 | 2 3 6 8 9 12 18 72 | 0 0 1 3 2 5 5 71 | 72
8 | 2 3 6 8 9 12 36 72 | 0 0 1 3 2 5 23 71 | 72
8 | 2 3 6 8 9 18 24 36 | 0 0 1 5 2 5 17 35 | 72
8 | 2 3 6 8 9 18 36 72 | 0 0 1 3 5 11 17 71 | 72
8 | 2 3 6 8 12 16 32 96 | 0 0 1 3 5 7 15 95 | 96
8 | 2 3 6 8 12 18 36 72 | 0 0 1 3 5 11 23 71 | 72
8 | 2 3 6 8 12 32 48 96 | 0 0 1 3 5 15 23 95 | 96
8 | 2 3 6 9 12 18 24 72 | 0 0 1 2 5 5 11 71 | 72
8 | 2 3 6 9 12 24 36 72 | 0 0 1 5 5 11 11 71 | 72
8 | 2 3 6 9 18 24 36 72 | 0 1 3 2 5 11 17 71 | 72
8 | 2 3 6 12 16 24 32 96 | 0 1 3 5 7 11 15 95 | 96
8 | 2 3 6 12 18 24 36 72 | 0 0 1 5 11 11 23 71 | 72
8 | 2 3 6 12 24 32 48 96 | 0 1 3 5 11 15 23 95 | 96
8 | 2 4 6 8 9 12 18 72 | 0 1 3 3 2 7 5 71 | 72
8 | 2 4 6 8 9 12 36 72 | 0 1 1 3 2 3 23 71 | 72
8 | 2 4 6 8 9 18 24 36 | 0 1 3 7 2 5 19 35 | 72
8 | 2 4 6 8 9 18 24 72 | 0 1 3 3 5 11 7 71 | 72
8 | 2 4 6 8 9 24 36 72 | 0 1 3 3 2 7 23 71 | 72
8 | 2 4 6 8 12 16 32 96 | 0 1 1 3 3 7 15 95 | 96
8 | 2 4 6 8 12 18 36 72 | 0 1 3 3 7 11 23 71 | 72
8 | 2 4 6 8 12 32 48 96 | 0 1 1 3 3 15 23 95 | 96
8 | 2 4 6 8 16 24 32 96 | 0 1 1 3 7 15 15 95 | 96
8 | 2 4 6 8 16 32 48 96 | 0 1 1 3 7 15 15 95 | 96
8 | 2 4 6 8 18 24 36 72 | 0 1 3 3 5 7 11 71 | 72
8 | 2 4 6 8 24 32 48 96 | 0 1 1 3 15 15 23 95 | 96
8 | 2 4 6 9 12 18 24 72 | 0 1 3 2 7 5 11 71 | 72
8 | 2 4 6 9 12 24 36 72 | 0 1 3 2 7 11 23 71 | 72
8 | 2 4 6 12 16 24 32 96 | 0 1 3 7 7 11 15 95 | 96
8 | 2 4 6 12 18 24 36 72 | 0 1 3 7 11 11 23 71 | 72
8 | 2 4 6 12 24 32 48 96 | 0 1 1 3 11 15 23 95 | 96
8 | 2 4 8 9 12 18 24 36 | 0 1 3 5 3 11 7 35 | 72
8 | 2 4 8 9 12 18 24 72 | 0 1 3 2 7 5 15 71 | 72
8 | 2 4 8 9 12 24 36 72 | 0 1 3 2 7 15 23 71 | 72
8 | 2 4 8 12 16 24 32 96 | 0 1 3 7 7 15 15 95 | 96
8 | 2 4 8 12 16 32 48 96 | 0 1 3 7 7 15 15 95 | 96
8 | 2 4 8 12 18 24 36 72 | 0 1 3 7 11 15 23 71 | 72
8 | 2 4 8 12 24 32 48 96 | 0 1 3 3 7 15 23 95 | 96
8 | 2 4 8 16 24 32 48 96 | 0 1 3 7 7 15 15 95 | 96
